33,94,9,50,78,60,31,73,61,82,73,59,43,67,28,88,36,35,49,49,15,29,44,25,36,58,69,20,16,95,4,46,2,1,73,27,86,30,60,22,1,63,67,4,12,52,46,43,26,63,2,63,23,52,93,7,46,41,61,38,45,26,35,91,76,83,82,27,55,77,84,75,12,81,51,82,60,79,64,28,52,82,85,67,11,5,8,52,71,73,0,25,9,44,22,74,89,62,99,49
73,57,29,43,9,74,2,48,38,17,34,6,75,6,75,37,85,62,97,5,2,36,69,24,60,21,12,41,59,8,97,6,64,94,11,34,59,0,72,38,68,71,67,73,1,33,3,21,84,64,19,36,78,64,88,27,15,96,46,34,84,50,88,21,17,83,39,85,80,4,52,1,29,46,27,54,56,52,62,16,12,59,95,16,93,78,91,39,56,79,19,57,14,99,55,94,14,89,9,27
35,82,78,60,73,57,43,96,79,2,63,65,5,95,68,70,18,50,12,7,1,48,84,40,79,57,27,73,12,81,44,52,72,50,55,87,48,83,63,79,25,9,16,17,31,60,71,24,9,44,27,23,60,88,53,45,25,42,35,83,28,93,56,48,19,48,99,94,98,43,58,12,64,51,41,71,58,9,96,61,2,35,57,24,83,83,93,23,47,28,88,59,77,1,83,64,88,63,65,78
39,22,93,94,83,29,36,67,86,99,58,62,49,29,25,93,80,88,97,27,57,73,33,49,10,51,50,11,75,72,14,74,47,12,88,89,18,95,98,25,47,94,61,66,54,40,32,90,29,97,12,32,15,22,59,77,77,85,76,94,88,40,17,67,34,5,86,89,84,21,74,78,73,26,38,45,33,77,86,20,41,36,79,10,28,6,30,16,21,24,3,11,51,12,51,47,9,1,23,47
19,30,9,33,92,94,41,27,87,32,98,98,91,70,29,62,54,47,49,14,57,52,95,93,41,63,32,24,46,95,60,10,35,4,30,15,69,40,81,73,62,16,57,20,53,3,51,14,37,79,25,29,99,93,9,93,80,44,87,46,54,61,45,87,98,37,67,18,62,34,59,2,91,30,26,27,2,70,20,92,27,95,9,67,54,39,93,65,5,98,81,75,38,1,53,49,53,50,24,88
1,57,35,62,87,27,6,65,42,13,41,80,33,7,94,11,34,85,50,52,73,54,85,17,4,60,13,60,64,79,14,49,76,89,24,30,12,41,41,69,45,10,74,57,39,11,79,90,47,33,9,30,18,28,47,60,90,49,48,80,43,47,57,31,81,46,34,45,44,1,14,40,83,6,34,31,81,58,5,6,2,49,21,0,62,20,89,62,99,18,3,66,83,68,12,80,39,83,94,71
77,82,49,36,57,53,62,2,48,54,83,45,69,6,63,25,72,85,5,33,98,17,50,1,26,36,80,19,37,89,28,5,85,18,79,48,69,71,25,3,2,85,2,71,57,11,34,65,95,97,95,93,25,3,12,93,66,36,68,85,33,24,79,66,95,91,76,88,52,84,44,25,29,64,58,55,2,78,59,4,69,50,4,36,43,32,42,51,73,4,93,53,46,52,84,74,79,38,87,41
75,15,30,20,91,54,18,17,41,85,86,59,5,93,48,8,88,0,47,74,73,64,10,83,64,5,2,5,93,19,97,38,0,29,56,5,6,37,27,17,76,53,86,37,67,57,50,60,88,39,27,58,36,23,48,76,71,19,86,0,8,42,34,55,61,26,82,55,1,15,32,0,77,34,55,79,3,64,74,25,75,80,4,28,84,47,47,78,51,33,7,62,14,70,1,13,84,74,91,42
55,14,94,49,42,52,15,80,5,21,62,9,45,28,92,66,20,14,14,51,20,56,66,20,11,20,70,43,67,45,59,30,30,72,8,96,73,3,39,68,53,19,55,39,26,59,27,55,96,97,38,95,62,0,19,97,53,65,94,89,4,14,20,80,1,54,15,17,33,46,66,99,39,39,76,76,78,13,38,0,12,83,42,93,57,81,77,13,5,23,29,40,89,26,95,83,60,39,27,33
17,86,18,22,39,81,83,34,62,74,9,7,20,14,27,69,18,15,45,16,51,38,38,95,13,97,67,20,83,33,63,8,27,23,11,16,41,96,12,0,0,53,51,71,16,52,64,95,91,25,50,47,23,40,58,98,0,11,6,38,26,54,84,84,86,97,18,54,90,58,4,74,85,8,28,53,84,11,38,88,22,68,77,77,70,43,36,73,42,56,72,41,29,11,25,51,58,20,3,2
36,57,43,37,42,93,66,39,20,25,69,7,85,40,69,70,86,84,25,21,27,87,86,65,45,32,95,8,35,67,21,58,53,38,48,76,21,33,10,12,68,82,84,24,26,37,59,87,53,51,48,21,11,70,92,39,44,97,9,68,9,55,49,78,27,69,52,59,48,23,35,13,92,24,87,24,83,59,35,15,61,52,42,62,46,31,53,22,47,41,56,49,4,4,22,80,60,66,90,35
74,65,35,16,1,77,55,66,66,9,80,38,92,47,15,47,52,71,98,31,55,18,67,22,77,70,33,78,70,32,43,27,50,57,62,20,21,23,72,90,46,96,98,33,69,19,46,56,81,61,38,80,50,66,47,64,50,9,33,48,59,29,94,35,30,40,61,85,62,92,62,17,94,97,51,39,99,2,60,45,50,7,14,11,33,14,8,33,12,16,63,24,74,63,4,43,29,54,32,68
78,41,23,5,16,21,24,88,8,82,84,55,9,19,21,28,53,41,1,96,48,57,19,40,47,35,5,8,63,11,66,20,11,73,98,65,15,55,96,45,67,68,91,29,40,10,80,29,41,13,19,33,44,66,24,87,58,93,4,33,12,59,80,53,16,50,29,46,91,50,32,65,32,51,56,27,89,28,35,72,40,16,29,69,54,80,91,86,71,8,50,67,92,13,45,40,96,18,4,14
80,61,23,0,39,81,64,22,38,93,21,80,16,92,4,7,24,39,55,20,30,70,98,37,47,62,58,83,5,74,53,44,14,81,87,94,76,88,43,29,29,61,94,2,44,95,27,59,40,54,45,65,63,89,9,47,57,98,74,13,78,38,9,20,93,6,92,92,43,61,56,72,44,55,39,81,52,74,87,54,16,39,44,25,46,94,86,77,30,45,70,19,99,50,14,43,14,0,72,93
